Bill Wittliff
Bill Zuckert
Billie Burke
Billie Cook
Billie Whitelaw
Billy Barty
Billy Beck
Billy Bob Thornton
Billy Boyd
Billy Burke
Billy Connolly
Billy Crudup
Billy Crystal
Billy Curtis
Billy Dee Williams
Billy Drago
Billy Frolick
Billy Gilbert
Billy Gray
Billy Hartman
Billy J. Mitchell
Billy Magnussen
Billy May
Billy Nelson
Billy Ray
Billy Ray Cyrus
Billy Wilder
Billy Zane
Bin Bunluerit
Bin Li
Bingen Mendizábal
Björk
Björn Ulvaeus
Black Thomas
Blair Brown
Blair Underwood
Blake Clark
Blake Edwards
Blake Neely
Blake Snyder
Blanca Marsillach
Blanca Portillo
Blasco Giurato
Blynn Jeffrey Mark
Blythe Danner
Bo Goldman
Bo Hopkins
Bo Svenson
Boaz Yakin
Bob Adrian
Bob Anderson
Bob Ari
Bob Baker
Bob Balaban
Bob Barr
Bob Bingham
Bob Burns
Bob Dolman
Bob Dylan
Bob Fosse
Bob Gale
Bob Geldof
Bob Gunton
Bob Hoskins
Bob Merrill
Bob Paynter
Bob Peck
Bob Penny
Bob Peterson
Bob Rafelson
Bob Shaw
Bob Spiers
Bob Steele
Bob Tzudiker
Bob Walker
Bobby Cannavale
Bobby Farrelly
Bodhi Elfman
Bodil Rosing
Bojan Bazelli
Bokeem Moodbine
Bokeem Woodbine
Bonnie Aarons
Bonnie Bedelia
Bonnie Hunt
Bonnie Somerville
Bonnie Wright
Bono
Booboo Stewart
Borden Chase
Boris Kaufman
Boris Lee Krutonog
Boris Strugatskiy
Boubker Ait El Caid
Brad Bird
Brad Davis
Brad Dexter
Brad Dourif
Brad Fiedel
Brad Garrett
Brad Lewis
Brad Lockerman
Brad Pitt
Brad Rearden
Brad Renfro
Brad Silberling
Brad Sullivan
Bradford Dillman
Bradley Cooper
Bradley Gregg
Bradley Pierce
Bradley Whitford
Brady Bluhm
Braeden Reed
Brandon De Wilde
Brandon Walters
Brandy Heidrick
Brandy Kopp
Branko Lustig
Braulio Mantovani
Brea Bee
Breckin Meyer
Bree Turner
Brenda Blethyn
Brenda Canela
Brenda Chapman
Brendan Fletcher
Brendan Fraser
Brendan Gleeson
Brendan McCarthy
Brent Briscoe
Brent Hinkley
Brent Maddock
Brent Spiner
Bret McKenzie
Brett Cullen
Brett Favre
Brian Avery
Brian Blessed
Brian Bloom
Brian Cox
Brian De Palma
Brian Delate
Brian Dennehy
Brian Dierker
Brian Doyle-Murray
Brian Easdale
Brian Eno
Brian F. O'Byrne
Brian Glover
Brian Haley
Brian Helgeland
Brian Howe
Brian Hutton
Brian Kerwin
Brian Libby
Brian Markinson
Brian May
Brian O'Byrne
Brian O'Halloran
Brian Regan
Brian Reitzell
Brian Sacca
Brian Stepanek
Brian Taylor
Brian Thompson
Brian Tufano
Brian Tyler
Bridget Fonda
Bridget Moynahan
Bridgette Wilson-Sampras
Brigitte Fosey
Brigitte Helm
Brion James
Brittany Daniel
Brittany Murphy
Brittany Snow
Brock Peters
Bronagh Gallagher
Bronco Billy Anderson
Bronislau Kaper
Bronson Webb
Bronte Woodard
Brooke Bundy
Broose Johnson
Bruce A. Evans
Bruce Bennett
Bruce Blain
Bruce Boa
Bruce Broughton
Bruce Cabot
Bruce Campbell
Bruce Davison
Bruce Dern
Bruce Graham
Bruce Greenwood
Bruce Joel Rubin
Bruce Jones
Bruce Kirby
Bruce McGill
Bruce McVittie
Bruce Ornstein
Bruce Payne
Bruce Spence
Bruce Surtees
Bruce Willis
Bruce Yarnell
Bruno Carotenuto
Bruno Corbucci
Bruno Coulais
Bruno Delbonnel
Bruno Ganz
Bruno Kirby
Bryan Brown
Bryan Callen
Bryan Cranston
Bryan Dick
Bryan Greenberg
Bryan Rowe
Bryan Singer
Bryce Dallas Howard
Bráulio Mantovani
Buck Henry
Buck Taylor
Bud Spencer
Budd Lewis
Buddy Ebsen
Buddy Johnson
Buff Brady
Burgess Meredith
Burkhard Dallwitz
Burl Ives
Burn Gorman
Burr Steers
Burt Bacharach
Burt Lancaster
Burt Reynolds
Burt Young
Burton Wohl
Buster Keaton
Busy Philipps
Butterfly McQueen
Byron Howard
Byron Lawson
Byron Mann
Bérénice Marlohe
C. Jay Cox
C. Thomas Howell
CCH Pounder
Cab Calloway
Caio Junqueira
Caitlin Keats
Calder Willingham
Caleb Deschanel
Cam Gigandet
Cam Neely
Cameron Bowen
Cameron Bright
Cameron Crowe
Cameron Diaz
Cameron Mitchell
Cami Delavigne
Camilla Belle
Camillia Monet
Campbell Scott
Candace Kita
Candela Peña
Candice Accola
Candice Bergen
Cara Buono
Cara Horgan
Cara Seymour
Carel Struycken
Carey Lowell
Carey Mulligan
Carey Westbrook
Cari Antón
Carl Anderson
Carl Chase
Carl Davis
Carl Duering
Carl Esmond
Carl Foreman
Carl Mayer
Carl Miller
Carl Steven
Carl Weathers
Carla Bruni
Carla Gallo
Carla Gugino
Carla Hidalgo
Carla Quevedo
Carles Gusi
Carles Sans
Carleton Young
Carlo Bernard
